"genes","Coefficient","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"EPHX4",0.132020306227788,3.55428227491777e-09,1.09619347445343e-07,0.00015669946958997
"CNOT6",0.119503425013026,8.26331477006093e-05,0.000394748724242743,0.00151455036924217
"TSPAN17",0.114597778909196,0.000153504438729442,0.00106483311032243,0.00508777457076915
"MMP11",0.107970370255637,0.00760946857027801,0.0115104195391213,0.000937511346263209
"CCNF",0.107455288342146,4.0137496470265e-10,2.43433643176955e-08,2.00266623654271e-05
"RNU6-652P",0.101899258317507,0.00675019018512378,0.00907962450029341,0.00932377223307124
"E2F7",0.0983604363413192,3.31716374112233e-12,1.86588601221327e-10,1.0588681575229e-05
"PABIR2",0.0982812058197324,3.13721762044225e-06,5.57421083823135e-05,0.000468218341582666
"DNMT3B",0.0976873736025146,2.07118723091344e-07,1.83992214878181e-06,0.000205415904288336
"IRX3",0.0925011320201373,0.0062502195198248,0.0119156004446997,0.0211714754464209
"ARHGAP11B",0.0917975627990182,1.33777412461221e-07,8.30214092049255e-07,0.00011684362184577
"LRRC42",0.0884289184001132,3.03653798186537e-05,0.000340464547900167,0.000881288244941207
"H4C9",0.0850711251115804,1.11357863508186e-06,6.34219719316619e-06,0.000413946273145795
"HOXA-AS2",0.078117513627748,8.41743167681985e-05,0.000192064906743185,0.00338156753237898
"SIM2",0.0756241045046504,0.00133002793140777,0.00233527382199052,0.000448385021626253
"DSC2",0.0705901709207447,0.000489667408260178,0.00162868983503218,0.0216621739551422
"EZH2",0.0675115080417653,5.25488442070596e-11,6.47691792203065e-10,9.73139030263241e-06
"HOXB7",0.0664418955162736,1.80728594834346e-10,4.34696713046989e-09,1.35124998529766e-05
"DRAXIN",0.0640744600726,0.000682737944491441,0.00127061081917087,0.0357859574638865
"CELSR1",0.0617751994350046,0.00013626458654212,0.000252934956236531,0.000657895623720528
"SF3B4",0.0602722294996356,2.83325251907013e-05,0.00187462814897253,0.00176144329284987
"PPIH",0.0585589229188677,8.72356730466898e-07,0.000162757162007357,0.000664747720158009
"AURKB",0.0568346890769128,4.11848315492019e-13,7.52049296909682e-11,7.78984609576662e-06
"WDR62",0.0543757518459649,3.99924604792758e-09,5.83481281731224e-08,3.04531735708431e-05
"FANCD2",0.0542236188552912,2.2921048166412e-12,1.50691406911136e-10,7.66338447092036e-06
"SLC35F2",0.0514298228516811,0.000607387774358,0.00126652674070015,0.0267360905923351
"DSC3",0.0485758996874821,2.32122903058806e-07,1.41816170946939e-06,0.0448675018790388
"APOBEC3B",0.048097729902324,0.000132697594015606,0.000756731092707047,0.00652513318283164
"DDX50P1",0.0479947908499222,0.0053085127486953,0.0137260441194329,0.0333708744032347
"MTMR8",0.0471068045016992,0.00125354744318607,0.00552150131506748,0.0171932241732788
"LINC02086",0.0465341427739752,2.82919751192968e-07,2.32480683025628e-06,4.41164323735738e-05
"NDFIP2",0.0464693453535886,3.7607909487849e-06,1.72654658606065e-05,0.000223728022372929
"CIP2A",0.0455886326519873,2.71748022000691e-09,2.67997660501621e-08,6.7008821219072e-05
"EFTUD2",0.0425542712373229,1.19091270247158e-05,0.000180958518020711,0.000561600085454647
"CRNDE",0.0417663700513277,2.7924111230357e-10,2.81288642896685e-09,2.22925828199409e-06
"TRIM36",0.0389101162837567,0.00188307572636476,0.00414585196229005,0.0106866493814094
"CDCA2",0.0346963299393668,6.44662908975005e-10,1.92504813938376e-08,1.37949133316457e-05
"CDCA8",0.0338286657104838,4.44055408417116e-12,6.45286397863636e-10,3.86618143397777e-06
"SEC61A2",0.0319405888980469,0.00176477978218266,0.0114898265559625,0.0137606615023683
"DNAH3",0.0317530688730453,1.33400870375109e-05,4.94827569924292e-05,0.00199136937309266
"SHCBP1",0.0303738998444943,2.72090843176457e-06,1.75074931063091e-05,9.28890383871573e-05
"SQLE",0.0285365937100438,9.62207046465014e-07,3.69348105292851e-06,8.20455129239931e-05
"STK31",0.0277690639404825,3.94393416084663e-05,0.000187725696131699,0.00920610422046204
"KIF2C",0.025697373223698,1.17980730667863e-12,1.23089822185267e-10,5.82207328787233e-06
"LINC02562",0.0252018328126245,3.41422213590965e-09,1.05098649170052e-07,0.000247313417904678
"CCNB1",0.0240021638165682,5.27329418881752e-11,2.52135978305379e-09,1.28264393041888e-05
"RPS12P14",0.0231735499716601,0.0121675070276597,0.0154270554721745,0.0138606702417477
"ARMC3",0.0218966997586747,1.1887692653389e-08,7.9716584576067e-07,0.0134087423414571
"ZMPSTE24-DT",0.0210146264317628,3.59129684737049e-05,0.000669729638208819,0.00235921170182355
"WNT5A",0.0197467710563098,0.00940521198932673,0.0128111688116405,0.0244231038472597
"TMEM147-AS1",0.0195570652577129,0.00336027329154422,0.0119225317274075,0.0177070883358453
"ERCC6L",0.0186316575253605,5.31654923171562e-12,6.51959487244649e-10,3.38608909529008e-05
"FHAD1",0.0183933440910635,7.70699727711063e-05,0.000249021032300598,0.000853460130487041
"SUCNR1",0.0180792517247104,5.80337185857227e-06,2.27999688728272e-05,0.0185684070526807
"ITGA3",0.0155145484031579,0.00505761801163971,0.00710942981114083,0.00383820181162692
"MAP10",0.0135460549792938,0.00209530463081153,0.00565807179922475,0.021269555905447
"NCAPH",0.0131366483618685,3.2197801723651e-09,5.21768373780387e-08,6.79347510050736e-05
"H2BC14",0.0109695330289994,0.000295237856014149,0.000806429477830616,0.00296884514254044
"FANCL",0.0099314640754792,3.94393416084663e-05,8.82126031265881e-05,0.00206980416379022
"DNAH5",0.00958344371031154,2.20223882768628e-07,1.95850889482213e-06,0.0019813355085156
"MIPEP",0.00830920081847687,3.87841035627964e-05,0.000164408747033763,0.00208747254550386
"CAD",0.00774995966178492,0.0024335201147844,0.00678097961527887,0.0110843522902692
"NECTIN1",0.0060583881428731,1.39246638965981e-06,4.67839275488016e-06,0.000933333111231976
"CDCP1",0.00524749482031454,0.000225038626653342,0.000374272744301322,4.17753760694489e-05
"TAF4",0.00475296775936386,5.38999962327897e-05,0.000920467897282563,0.00114296874593024
"NCAPG",0.00224294013644455,1.42772562351e-10,3.79098068732535e-09,6.86057769789846e-05
"ORC6",0.00191038492757238,3.10226505688998e-11,3.21850253893028e-09,6.8063648403293e-06
"CENPA",0.000953929515589313,2.05422639290011e-12,4.09985668508654e-10,8.46167355886658e-06
"BIRC7",0.000819758552145052,0.000412877669954412,0.00112893660224137,0.0171932241732788
