"genes","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"RAB19",0.00356271813773765,0.00826232737170516,0.00164935977281361
"CASK",0.00417616523021353,0.00733317040978037,0.0422959779446033
"EBP",0.0115286633878854,0.0185334669192804,0.00808829563839397
"RADX",1.73527508412897e-05,5.60345167143394e-05,0.0164690788922489
"GINS4",3.95822463957959e-05,0.000207825430345498,0.00299025932601509
"LACTB2",0.000657942088493537,0.00178991211334945,0.0163348542698278
"MAL2",0.00215560424236364,0.00518259836780085,0.00324323111991589
"ARHGAP39",0.000356239325893618,0.000941004228658613,0.00324552594512633
"SLC39A4",0.00467699039081294,0.00760284596101837,0.00876093783283785
"NR6A1",9.03826637423746e-06,3.22689138032106e-05,0.00115314833681438
"COMMD3",0.00169208414866345,0.00615425550038365,0.0185493975612416
"PDSS1",0.0199205097824112,0.0453907685485551,0.0401215193387325
"MKI67",2.10331034660076e-11,3.53919568915755e-10,7.58286423700927e-06
"IMMP1L",1.00439468249176e-05,0.000258058925462467,0.000946474524384039
"CSTPP1",0.000256482628043257,0.00172080973424172,0.00284698183292831
"KLHL35",5.18346651918793e-05,0.00029326515356006,0.00131535581897224
"GLB1L2",0.0323310506571121,0.0452826424252265,0.0263273933494528
"SLX4IP",0.00129673686079479,0.00586670278412813,0.0113137239316538
"ST14",0.0276023544907023,0.0367429080898615,0.00871580293759395
"INCENP",1.18680509399387e-05,5.68964126480989e-05,0.000680311144295457
"CHEK1",1.1887692653389e-08,9.32945395014814e-08,0.000120568194046083
"DSN1",6.9078655455954e-05,0.000195486214066598,0.00573934400192287
"CCT5",0.00845181416145125,0.0145236239345119,0.0442014928149008
"OXSM",0.000613922237654788,0.0027109451227044,0.00404383945661878
"NCAPD3",8.38286939108984e-06,3.23524140701787e-05,0.00067399160805805
"MFSD6",0.000292770046854996,0.000881690808391001,0.00209715894295825
"CENPU",4.36918857047281e-05,0.000141247745584961,0.0140811745278291
"CPAP",0.00761203721351667,0.0132470873160849,0.0314485691689833
"TMEM267",3.79611797043402e-05,0.000344065549379386,0.00152085953960155
"SPC25",5.33974347628999e-09,9.22459777854994e-08,4.55434976853617e-05
"UHMK1",0.00176477978218266,0.0053527665510623,0.0162898238587522
"SUV39H2",1.29954111922199e-05,0.000128931589582321,0.00150949286949774
"DCLRE1C",5.15357353963807e-05,0.000471911631105372,0.00138232561179597
"TRIM36",0.00188307572636476,0.00414585196229005,0.0106866493814094
"CCNO",0.0037894318331288,0.00672997116158071,0.00484256407709761
"GPR180",0.00360396534768257,0.00628449561575813,0.0261411196566001
"FARP1",0.000188016533659132,0.000330093240376019,0.00905984748727096
"PTPRK",0.00216865513463977,0.00399130529803107,0.0244057430585852
"MARVELD2",0.00219799548531802,0.00375919200196948,0.000789348597236876
"CENPH",2.35955661668447e-07,2.16430578055408e-06,0.000746849515349047
"TMEM87B",0.00880205666836252,0.017501716026049,0.0421590879471809
"LINC00467",0.000773239868535348,0.00424320641974385,0.0236042966265708
"PLEKHG4B",0.00176855013225388,4.23011128418885e-05,0.00416642266436252
"RMND5A",0.00105443323920808,0.00182000498447474,0.0131779884222697
"CEBPG",0.00086509743653846,0.00150496282670785,0.0149762598043337
"MSI2",0.0056257157362995,0.00923779325533046,0.00732873829626078
"GDPD1",0.00604426537379891,0.0126169169013716,0.0388487455590914
"CXADR",0.0117649754530068,0.0177108543340245,0.00773694369473919
"TSEN2",0.0011777874987496,0.00274204353761309,0.0238675091804936
"SLFN13",1.40727661441438e-05,3.67346682182402e-05,0.00394798811653421
"SKA1",8.83902292608565e-10,5.5919929818017e-08,5.14531696974291e-05
"EME1",0.000260543774915381,0.000848327967545952,0.00646454497611591
"GOLGA7B",0.00209038467525685,0.00333768987878785,0.0454353238632069
"NUP205",0.00117219098128291,0.00404899133539415,0.0105041245160416
"SPAG17",4.16907943401889e-05,0.000130267844017624,0.0192649510275254
"GRIP1",0.00493090645784699,0.0110429947775171,0.0350232102352799
"PABIR2",3.13721762044225e-06,5.57421083823135e-05,0.000468218341582666
"FBXO43",3.3043578347282e-07,1.67319054797005e-06,0.00166658320338172
"PHF6",0.00144902770848122,0.00285794778179186,0.01609329197975
"MAPK13",8.71889775312878e-05,0.000257360438476318,0.000410904796674604
"ATAD2",3.65409471147868e-05,6.89281500773241e-05,0.00741850298911337
"SASS6",0.00066402950030906,0.00175215126711974,0.0141971017459472
"BUB1B",1.65144428155078e-08,2.39735594089383e-07,0.000100354559855924
"TMEM171",3.771046265524e-05,0.000118775001837918,0.00282823190101356
"LRP8",0.0206172741700471,0.0275469022647459,0.014732037506681
"CLDN12",0.000298501410034573,0.000701959504873574,0.0107598811302678
"CCNB2",1.77941255494051e-09,2.34219924414932e-08,7.12920334177529e-05
"FAM81A",5.00948373552124e-05,0.000189737652409917,0.0026897271535082
"KRTCAP3",0.00998828238716357,0.015951822665528,0.032640265476308
"ANKRD61",0.00313567024521852,0.00804565821236299,0.00862075781465069
"RHPN1",0.00737519415872895,0.0123980204843956,0.0083925569695939
"CNNM4",0.000673926904313375,0.00153253608845689,0.00644206970650725
"RNF207",0.00550460775755382,0.00918447411484609,0.0382611960392727
"RHBDL2",2.49631190330161e-05,9.03715919262992e-05,0.00213789767848079
"H2BC5",8.73682609135314e-07,3.06720131988228e-06,0.000192670336967254
"CDC25C",1.20080182072313e-10,4.32808837272425e-09,5.33392484533598e-05
"CNOT11",0.00194125692666067,0.00483466738765473,0.0205271596401901
"DNAH3",1.33400870375109e-05,4.94827569924292e-05,0.00199136937309266
"F11R",0.00540452064696817,0.00791657766044824,0.00433528785296003
"NPM2",0.00110778507191323,0.00304258143952843,0.023439726683973
"MIS18A",2.30585034249804e-06,3.35887812776393e-05,0.00235378795179407
"CCDC24",0.00211422685219533,0.00442941785426549,0.0124591386932175
"CHAF1B",4.06335611127542e-07,3.92388181126493e-06,0.000312726551430274
"SIM2",0.00133002793140777,0.00233527382199052,0.000448385021626253
"M1AP",0.00024035110059533,0.00146529350088065,0.0160027720837239
"ZNF233",1.95034475098327e-05,9.25672740801888e-05,0.00363367121003093
"NR2F6",0.00367494077242905,0.00655190278437524,0.00678553220976879
"RSPH1",0.0042950068265204,0.00843065979119786,0.0418651589460779
"HSF2BP",0.000392302178827693,0.0012320571712721,0.00378570493482016
"CSTB",0.00203831369102487,0.00372266983772824,0.0193092050544651
"C21orf58",1.36070653920221e-06,7.77487569855672e-06,0.000526946310300766
"ZDHHC12",0.0120157582585562,0.0269113743440499,0.020497636273083
"NEK8",0.0118291318592916,0.0277016193749457,0.0335378078360599
"TLCD1",0.000949334337254235,0.00246961484936679,0.00561969772795971
"FLAD1",0.0109438260935762,0.0228097366371176,0.0213742514257479
"FDPS",0.00339250056520824,0.00579803205830516,0.018688691260741
"TONSL",0.000208701664686045,0.000644010575201399,0.000416415247216074
"RECQL4",3.71543789819726e-06,1.91965484680709e-05,6.03222597902565e-05
"MGAT4B",0.00126718267470574,0.00218652647110781,0.00657333892931122
"NAPEPLD",0.0104871205223174,0.0195553681870526,0.0318865548751457
"DBF4B",0.000207532231258341,0.000925454923991385,0.00443276240343516
"RACGAP1",3.33096575444578e-08,1.87527952801309e-07,0.000136769642127902
"SPC24",1.03993258777144e-07,1.33601228409112e-06,3.72804488950283e-05
"POLR3K",0.00659308212178577,0.0235597021814878,0.0225885285160359
"TEDC2",4.4630241369553e-06,2.16620847401727e-05,0.000145395240564231
"CCNF",4.0137496470265e-10,2.43433643176955e-08,2.00266623654271e-05
"SHANK2",0.013463100718087,0.0176527674870945,0.0321650656263723
"PARS2",0.000465615614384187,0.00208828258543197,0.0044009601680566
"ZSWIM5",0.000562726830722692,0.00127023674080574,0.0268585952628136
"DRAXIN",0.000682737944491441,0.00127061081917087,0.0357859574638865
"NHSL3",0.0209436596074047,0.0267640153994135,0.0261130359688564
"SNX7",0.000599681765927347,0.00142312006270701,0.00974587201740056
"HENMT1",2.88257981993855e-05,0.00010127338486123,0.00183840530050901
"FLVCR1",0.00355880953578547,0.00699173130866605,0.0112188042079272
"BPNT1",0.00817991780180385,0.0158826601503656,0.0245705018646781
"ACP6",0.028494558042911,0.0450632670649668,0.0383323508475072
"IKBKE-AS1",0.0339629131756268,0.0464834888801941,0.0274798155472847
"SANBR",3.91918862320823e-06,5.5011310150731e-05,0.000400488938470518
"DPY30",0.00139330205869564,0.00384754896862524,0.0190285132536107
"FBXO41",0.000254703968555624,0.00109030755100744,0.00136742836268653
"SGPP2",0.000379625684892003,0.000822700969489634,0.000796882644809258
"FZD5",0.000312847096612179,0.000519525934116953,0.0171110725436584
"CLDN1",0.00581255643722694,0.00834333800401673,0.0118278325335588
"PYGO2",0.0142408915453508,0.0257222829523902,0.0265510781734608
"SLC22A15",0.000579006779145845,0.00137196138444721,0.0208597811363105
"CCT3",0.0024544881351183,0.00544981836184832,0.0237430384074337
"STK36",0.00571024387518614,0.0123160051930581,0.0328634375372615
"CIP2A",2.71748022000691e-09,2.67997660501621e-08,6.7008821219072e-05
"SGO2",0.000242836883634131,0.000549154881136997,0.00834910674904481
"PRKCI",0.00592668580367893,0.0106407645259233,0.0406391643277757
"CDS1",0.0003709639377875,0.000806429477830616,0.00296884514254044
