"genes","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"ZNF331",0.000169774098087489,0.000312275930166466,0.00387842578901703
"HABP4",9.72232130686049e-07,1.3988926182701e-05,7.08598249647892e-05
"AKAP12",1.43993797461716e-06,5.1566316634086e-06,0.000271517908937137
"SYNE1",2.7281694082937e-05,3.85392864570297e-05,0.000374831844524492
"COX4I2",0.000365970007577221,0.000802884968614033,0.000974366810168308
"EDA2R",0.00105765503219639,0.00188019748811742,0.0013865136689521
"SH3BGRL",0.0121675070276597,0.0123885078576454,0.0258453698607918
"NFATC1",0.00331213808661114,0.00478439120384493,0.00998841212822558
"ADGRE3",0.0081793779565828,0.0133302860155842,0.0316955346468974
"SH3BP5",2.09888960483646e-11,3.40440543942622e-10,2.22925828199409e-06
"RFTN1",0.0103005810470941,0.0111161153309642,0.00956615933287644
"GALNT15",4.76405463438492e-09,7.50625798294322e-08,0.000170755757894302
"GFPT2",0.000500131848691953,0.00107765191394063,0.00712250313384279
"AOC3",5.05388203655592e-10,5.0174576273109e-09,1.0588681575229e-05
"RAMP2",6.3258539032501e-07,3.54479405455285e-06,0.000114154524341006
"TMEM204",0.000746114709523113,0.000774357715273476,0.00536171161485962
"NINJ1",0.00191437159310339,0.00229286064533675,0.00446928612275549
"MAP1B",0.0148032260016437,0.015643181547454,0.0041943514880358
"CKMT2",0.0123010723387384,0.0161996992136552,0.0165193032886456
"RARA",0.00122812443101741,0.00165880953518239,0.00539299917134617
"RAI2",1.99519641183909e-06,8.97366059479387e-06,5.42162919167282e-05
"CHSY1",0.00325824723410829,0.00359308404130519,0.016224129654505
"EMILIN2",0.0163350503081787,0.0180504546758772,0.0236124049675552
"TRIM22",0.0308310564072611,0.0337592446089592,0.00579477781139585
"SERPINF1",2.67008828393488e-07,1.02240082501873e-06,0.000133415349953406
"KDM6B",0.00132924514659921,0.00179506534779132,0.0167986949047298
"CLEC10A",2.35891530925879e-07,1.06394157628489e-06,1.91638229110502e-05
"RGS22",0.025110755382636,0.0289922517384351,0.00765073703618515
"HSPA12B",5.13468564999121e-07,2.12754992271202e-06,0.000242438885759497
"DMGDH",1.88759979396355e-06,1.494725421984e-07,0.00118884853150886
"BHMT2",1.92260199995269e-09,4.61240379339337e-08,9.28890383871573e-05
"WASF3",0.000392257075157129,0.000654238940053977,0.00301268139458035
"MYH10",2.93458146011184e-07,5.59527194737879e-07,9.63494678032959e-05
"DCLK1",4.81668084841706e-05,9.74556759836104e-05,0.000277931257267709
"SPART",1.1892963796959e-05,2.2643319152121e-05,0.000185224128779109
"STARD13",0.000845067630958326,0.00098887465194024,0.00132723513148477
"TCEAL4",3.5963586576953e-06,6.26550319931684e-06,0.000426844362676065
"LGALS12",1.53997150441228e-06,1.19006281416902e-05,0.00186875818350686
"MYH11",5.32227438523666e-10,1.58639174397304e-08,1.05081753305914e-05
"GIMAP6",0.0164688477152555,0.0173330289054424,0.00350936794203659
"TMTC1",1.13161540829578e-05,2.17516658488093e-05,0.000228326609921898
"SWAP70",0.000115572632539202,0.000185725698570267,0.000974438923832698
"LYVE1",3.35978551954067e-18,1.02194908228085e-13,5.71819948061379e-06
"RNF122",8.73204050014394e-07,2.80729754709623e-06,0.000169401347682854
"DUSP26",0.00780348373014571,0.0100895002571231,0.010131856444061
"CTIF",1.85121652755417e-05,2.84185256706823e-05,0.000470107142761131
"MRO",0.00405244323048283,0.00538647933652323,0.0238186564085943
"TSPAN2",0.0139646891293593,0.016135261455707,0.0104929244834453
"GSTM5",1.07226733692754e-06,5.07251079625912e-06,5.47646198640271e-05
"WNT2B",3.96846747311553e-05,6.56744655818347e-05,0.000795259206904737
"NGF",2.1875439212685e-06,9.7972177641534e-06,0.000178363848166844
"SLC38A2",0.00429563292508013,0.0051845377813019,0.0075961167172072
"IL6ST",1.59014385243259e-07,5.42940575763362e-07,8.20455129239931e-05
"FST",9.26235626896169e-05,0.000263861125022217,0.0059567255127661
"ECHDC3",0.000249500005747318,0.000489032458687037,0.0151740683361462
"CCNH",0.000501027903126966,0.000526430875075298,0.00257301009242316
"EMP1",0.00044448869042661,0.00112126199752493,0.00271723830404758
"RERG",0.0126243687514464,0.0153480734705111,0.011420319669756
"RTL8C",0.000287199523168977,0.000673252977616604,0.00306792769596639
"PDGFRA",4.36140284500204e-05,6.63327670252157e-05,0.000877474384205675
